date,region,country,product,quantity,unit_price,revenue,material_cost,shipping_cost,total_cost,margin
2024-06-22,Europe,UK,Gadget Y,43,197.22,8480.46,2688.63,879.07,3567.7,4912.76
2024-08-28,Asia,India,Widget B,10,26.84,268.4,80.24,19.53,99.77,168.63
2024-03-15,South America,Argentina,Gadget Y,13,221.14,2874.82,939.48,189.65,1129.13,1745.69
2024-05-31,Europe,Germany,Gadget X,15,69.25,1038.75,458.7,79.59,538.29,500.46
2024-02-21,North America,USA,Gadget X,9,244.4,2199.6,843.58,261.56,1105.14,1094.46
2024-11-20,South America,Argentina,Gadget Y,29,271.22,7865.38,3136.17,571.98,3708.15,4157.23
2024-09-22,North America,Canada,Gadget Y,32,195.49,6255.68,1907.48,231.29,2138.77,4116.91
2024-10-19,North America,Canada,Widget C,21,270.05,5671.05,1509.15,247.11,1756.26,3914.79
2025-01-27,North America,USA,Widget A,27,134.13,3621.51,1298.39,244.16,1542.55,2078.96
2024-07-30,South America,Argentina,Gadget Y,45,25.47,1146.15,488.41,93.77,582.18,563.97
2025-05-03,Europe,UK,Widget C,49,129.2,6330.8,2711.66,666.1,3377.76,2953.04
2024-08-13,South America,Brazil,Widget C,28,155.98,4367.44,1431.52,393.94,1825.46,2541.98
2025-02-18,North America,Canada,Widget B,40,169.55,6782.0,2925.66,564.74,3490.4,3291.6
2024-01-28,Europe,Spain,Widget B,30,70.88,2126.4,642.24,126.44,768.68,1357.72
2025-04-10,Asia,Japan,Gadget X,18,230.56,4150.08,1728.03,218.73,1946.76,2203.32
2024-03-24,South America,Brazil,Gadget Y,4,299.97,1199.88,383.95,106.2,490.15,709.73
2024-02-11,Europe,France,Widget B,2,193.97,387.94,115.49,28.17,143.66,244.28
2024-04-27,North America,Canada,Widget C,50,123.29,6164.5,2288.13,719.62,3007.75,3156.75
2024-04-27,North America,Canada,Widget A,38,27.19,1033.22,322.77,93.98,416.75,616.47
2025-01-19,South America,Brazil,Widget A,38,213.37,8108.06,3044.16,317.6,3361.76,4746.3
2024-11-04,Europe,Germany,Widget C,35,139.95,4898.25,1587.59,370.0,1957.59,2940.66
2024-12-15,Europe,Spain,Gadget X,7,141.39,989.73,319.13,109.11,428.24,561.49
2025-04-15,North America,Canada,Widget B,47,166.09,7806.23,2967.08,666.9,3633.98,4172.25
2025-05-10,South America,Argentina,Gadget Y,18,110.25,1984.5,593.56,226.46,820.02,1164.48
2024-10-12,South America,Brazil,Gadget X,37,190.89,7062.93,2301.09,230.13,2531.22,4531.71
2024-11-28,North America,Canada,Widget B,23,243.39,5597.97,1780.53,611.46,2391.99,3205.98
2024-10-09,Europe,France,Widget A,16,221.62,3545.92,1232.97,348.33,1581.3,1964.62
2025-05-02,South America,Argentina,Widget A,6,102.39,614.34,203.27,31.88,235.15,379.19
2025-01-12,South America,Argentina,Gadget X,48,174.11,8357.28,2677.36,592.01,3269.37,5087.91
2024-11-09,Asia,India,Widget A,47,73.92,3474.24,951.63,271.78,1223.41,2250.83
2024-07-08,North America,USA,Gadget X,18,222.88,4011.84,1786.56,309.78,2096.34,1915.5
2024-10-16,Europe,France,Widget C,15,121.05,1815.75,563.71,170.18,733.89,1081.86
2024-05-09,Asia,India,Widget A,36,101.8,3664.8,1608.18,320.33,1928.51,1736.29
2025-05-17,Europe,Germany,Gadget Y,19,151.43,2877.17,972.75,134.06,1106.81,1770.36
2024-02-22,Asia,Japan,Widget A,5,132.2,661.0,175.04,57.28,232.32,428.68
2024-02-24,North America,USA,Gadget Y,20,43.85,877.0,262.78,70.36,333.14,543.86
2025-03-02,North America,Canada,Gadget X,29,103.26,2994.54,1101.11,205.41,1306.52,1688.02
2024-03-02,Europe,France,Widget B,17,204.92,3483.64,980.34,159.0,1139.34,2344.3
2024-03-17,North America,USA,Gadget X,29,213.02,6177.58,2124.98,203.47,2328.45,3849.13
2024-10-22,Asia,China,Gadget X,5,212.47,1062.35,461.89,107.2,569.09,493.26
2024-07-21,South America,Brazil,Gadget Y,15,201.34,3020.1,1303.72,315.29,1619.01,1401.09
2024-03-14,Europe,France,Widget C,39,229.71,8958.69,3259.54,501.46,3761.0,5197.69
2024-05-07,South America,Argentina,Gadget X,18,160.13,2882.34,1005.24,107.34,1112.58,1769.76
2024-02-10,South America,Argentina,Gadget Y,17,27.24,463.08,136.97,42.0,178.97,284.11
2024-01-22,Asia,China,Widget A,49,231.76,11356.24,3907.68,1006.57,4914.25,6441.99
2024-10-11,North America,Canada,Gadget X,6,151.6,909.6,301.69,53.57,355.26,554.34
2024-04-17,North America,Canada,Gadget X,45,158.73,7142.85,2732.26,471.72,3203.98,3938.87
2024-02-07,South America,Brazil,Widget C,17,110.52,1878.84,834.27,124.71,958.98,919.86
2025-06-10,Europe,Spain,Gadget X,4,72.52,290.08,93.51,28.45,121.96,168.12
2025-03-28,Europe,France,Widget C,36,56.68,2040.48,627.66,222.98,850.64,1189.84
2025-05-11,Europe,Germany,Gadget Y,16,218.74,3499.84,1092.48,109.3,1201.78,2298.06
2025-02-21,Europe,France,Widget A,30,285.18,8555.4,3247.13,375.22,3622.35,4933.05
2024-10-25,Asia,Japan,Gadget X,31,88.24,2735.44,985.45,176.5,1161.95,1573.49
2025-06-04,North America,USA,Widget C,50,241.2,12060.0,4015.84,1375.83,5391.67,6668.33
2025-06-03,Asia,India,Widget C,47,103.6,4869.2,1788.88,583.82,2372.7,2496.5
2025-05-16,North America,Canada,Gadget Y,31,116.63,3615.53,1302.98,285.3,1588.28,2027.25
2025-04-11,Asia,India,Widget B,37,127.23,4707.51,1982.82,315.26,2298.08,2409.43
2024-11-21,South America,Argentina,Gadget X,43,241.87,10400.41,3956.36,454.39,4410.75,5989.66
2024-02-07,North America,Canada,Widget A,29,47.92,1389.68,600.46,43.61,644.07,745.61
2024-05-27,South America,Brazil,Widget A,31,238.83,7403.73,2243.36,637.41,2880.77,4522.96
2025-02-11,Europe,UK,Gadget Y,25,287.16,7179.0,2694.71,788.75,3483.46,3695.54
2025-05-14,Europe,Germany,Widget B,41,211.63,8676.83,2667.92,437.95,3105.87,5570.96
2024-04-02,South America,Brazil,Widget A,29,66.58,1930.82,598.35,62.95,661.3,1269.52
2024-11-28,Europe,UK,Widget C,24,140.59,3374.16,1008.33,226.35,1234.68,2139.48
2024-07-03,North America,USA,Widget A,40,263.84,10553.6,3946.44,545.35,4491.79,6061.81
2024-05-26,North America,Canada,Widget C,30,91.49,2744.7,691.33,281.1,972.43,1772.27
2024-10-21,North America,USA,Gadget X,23,296.54,6820.42,2113.18,795.14,2908.32,3912.1
2024-09-13,South America,Argentina,Widget B,25,258.93,6473.25,1756.39,416.38,2172.77,4300.48
2025-01-02,Asia,China,Widget C,2,293.82,587.64,224.27,32.15,256.42,331.22
2024-02-20,South America,Argentina,Widget B,39,244.54,9537.06,2802.0,449.31,3251.31,6285.75
2024-09-13,North America,USA,Widget A,20,240.81,4816.2,1236.19,302.64,1538.83,3277.37
2024-05-14,Europe,UK,Widget C,48,136.34,6544.32,1898.89,659.58,2558.47,3985.85
2025-01-09,Asia,India,Widget C,31,290.87,9016.97,2786.5,976.86,3763.36,5253.61
2024-04-27,South America,Brazil,Widget B,49,290.62,14240.38,6009.84,1355.39,7365.23,6875.15
2025-02-10,Asia,India,Gadget X,1,94.05,94.05,25.84,5.94,31.78,62.27
2024-09-25,South America,Argentina,Widget A,44,85.47,3760.68,958.99,412.1,1371.09,2389.59
2024-12-01,North America,USA,Gadget X,45,104.61,4707.45,1561.27,200.44,1761.71,2945.74
2024-02-08,Asia,Japan,Widget A,7,85.74,600.18,214.57,39.0,253.57,346.61
2025-01-14,South America,Brazil,Gadget X,42,47.73,2004.66,697.36,133.77,831.13,1173.53
2024-10-13,Europe,UK,Widget B,29,144.51,4190.79,1245.6,262.52,1508.12,2682.67
2025-01-11,Asia,India,Gadget X,18,73.15,1316.7,361.34,140.0,501.34,815.36
2025-04-10,Europe,France,Gadget Y,2,34.16,68.32,21.64,8.13,29.77,38.55
2024-07-29,Europe,France,Gadget Y,14,247.65,3467.1,1028.34,345.65,1373.99,2093.11
2024-01-03,Asia,India,Widget B,35,90.18,3156.3,899.23,282.47,1181.7,1974.6
2024-01-27,North America,USA,Widget C,16,184.88,2958.08,748.86,159.39,908.25,2049.83
2024-05-09,South America,Brazil,Widget A,31,145.52,4511.12,1454.42,376.36,1830.78,2680.34
2025-04-07,North America,USA,Gadget Y,20,148.25,2965.0,1312.92,105.18,1418.1,1546.9
2025-05-05,South America,Argentina,Widget A,32,219.47,7023.04,2378.79,779.09,3157.88,3865.16
2024-11-25,North America,USA,Widget B,18,194.81,3506.58,1287.17,329.95,1617.12,1889.46
2025-01-25,Asia,Japan,Gadget Y,39,140.46,5477.94,2238.39,220.75,2459.14,3018.8
2024-08-08,South America,Argentina,Widget B,27,114.9,3102.3,1056.95,209.22,1266.17,1836.13
2024-04-07,Asia,Japan,Widget C,43,91.37,3928.91,1731.54,360.73,2092.27,1836.64
2025-04-30,Europe,Germany,Widget A,6,140.93,845.58,337.32,53.73,391.05,454.53
2024-05-13,Europe,UK,Widget A,27,119.01,3213.27,1230.9,313.38,1544.28,1668.99
2024-02-22,Asia,China,Widget C,23,49.01,1127.23,396.2,49.51,445.71,681.52
2025-05-08,North America,USA,Widget C,36,122.92,4425.12,1781.2,361.4,2142.6,2282.52
2025-03-15,Europe,UK,Widget A,12,96.52,1158.24,466.17,130.81,596.98,561.26
2024-12-25,Europe,France,Widget B,37,204.06,7550.22,1992.63,730.01,2722.64,4827.58
2024-02-01,Europe,France,Gadget X,27,147.02,3969.54,1117.35,230.42,1347.77,2621.77
2024-11-28,Europe,Germany,Widget B,11,231.24,2543.64,661.23,94.99,756.22,1787.42
2025-03-29,South America,Argentina,Gadget Y,29,135.97,3943.13,1155.79,300.12,1455.91,2487.22
2024-12-19,South America,Brazil,Widget C,44,209.98,9239.12,3208.99,831.91,4040.9,5198.22
2024-02-16,North America,Canada,Gadget Y,4,22.15,88.6,27.49,4.34,31.83,56.77
2024-05-20,Asia,Japan,Widget C,8,22.16,177.28,70.81,8.12,78.93,98.35
2025-01-24,North America,Canada,Widget A,26,261.29,6793.54,1755.86,215.27,1971.13,4822.41
2024-03-20,Asia,China,Gadget X,37,133.24,4929.88,1863.63,276.35,2139.98,2789.9
2025-02-18,Europe,UK,Widget B,40,148.83,5953.2,2309.38,372.47,2681.85,3271.35
2025-03-23,Europe,France,Gadget X,38,132.13,5020.94,1334.21,544.0,1878.21,3142.73
2024-12-13,North America,Canada,Widget B,5,162.94,814.7,222.25,61.83,284.08,530.62
2024-12-23,Asia,China,Widget B,16,48.79,780.64,235.12,35.61,270.73,509.91
2024-06-05,Europe,France,Gadget X,30,231.24,6937.2,2788.58,488.39,3276.97,3660.23
2024-11-26,Asia,India,Gadget X,5,151.3,756.5,284.65,76.91,361.56,394.94
2024-02-27,Asia,China,Widget A,20,149.29,2985.8,768.91,188.66,957.57,2028.23
2024-10-20,Europe,Germany,Gadget Y,39,161.98,6317.22,2163.92,504.67,2668.59,3648.63
2024-02-12,South America,Brazil,Widget C,39,153.18,5974.02,1673.75,212.49,1886.24,4087.78
2024-04-15,Asia,China,Widget A,33,200.92,6630.36,1709.5,621.17,2330.67,4299.69
2025-03-25,North America,Canada,Widget C,19,128.48,2441.12,988.39,222.39,1210.78,1230.34
2024-02-23,Asia,India,Widget C,7,176.23,1233.61,403.78,64.99,468.77,764.84
2024-06-02,Asia,India,Gadget Y,43,59.6,2562.8,820.0,300.09,1120.09,1442.71
2025-02-05,North America,USA,Widget C,36,125.47,4516.92,1844.4,466.09,2310.49,2206.43
2025-06-23,Europe,Spain,Gadget Y,24,25.1,602.4,187.81,69.64,257.45,344.95
2024-12-15,South America,Brazil,Widget B,9,63.38,570.42,176.35,57.57,233.92,336.5
2025-06-03,Europe,UK,Gadget Y,9,187.23,1685.07,473.25,77.98,551.23,1133.84
2024-06-18,South America,Brazil,Gadget X,24,209.38,5025.12,1495.0,351.65,1846.65,3178.47
2024-10-18,South America,Brazil,Gadget Y,16,106.65,1706.4,702.57,123.22,825.79,880.61
2024-07-17,Asia,China,Gadget Y,29,149.27,4328.83,1326.16,278.64,1604.8,2724.03
2025-06-24,South America,Brazil,Widget B,39,58.75,2291.25,687.38,200.96,888.34,1402.91
2025-01-15,Europe,Germany,Widget C,6,233.67,1402.02,427.0,156.29,583.29,818.73
2024-05-30,South America,Brazil,Widget B,29,267.7,7763.3,3385.53,522.79,3908.32,3854.98
2025-02-09,Asia,India,Gadget X,6,124.98,749.88,191.7,85.32,277.02,472.86
2024-12-09,North America,USA,Widget A,19,276.87,5260.53,1812.21,551.3,2363.51,2897.02
2025-04-25,South America,Brazil,Widget A,2,91.66,183.32,76.44,14.55,90.99,92.33
2025-06-24,South America,Brazil,Widget C,16,104.32,1669.12,433.22,113.14,546.36,1122.76
2025-04-13,Europe,Germany,Gadget X,39,170.1,6633.9,2496.94,542.35,3039.29,3594.61
2024-05-27,Asia,Japan,Widget A,40,118.79,4751.6,1730.21,222.65,1952.86,2798.74
2024-03-28,Asia,India,Gadget Y,35,162.05,5671.75,2539.05,453.02,2992.07,2679.68
2025-02-03,South America,Brazil,Gadget X,24,91.02,2184.48,553.22,220.56,773.78,1410.7
2024-12-19,North America,USA,Gadget Y,48,231.87,11129.76,3079.4,686.78,3766.18,7363.58
2024-12-12,North America,Canada,Gadget X,41,71.04,2912.64,806.72,275.08,1081.8,1830.84
2025-04-13,Europe,UK,Widget B,3,241.51,724.53,309.49,42.32,351.81,372.72
2024-11-13,South America,Argentina,Widget C,3,230.92,692.76,199.67,43.04,242.71,450.05
2024-02-18,Asia,Japan,Widget A,24,142.35,3416.4,1127.43,237.7,1365.13,2051.27
2025-01-30,Asia,India,Gadget X,45,159.31,7168.95,3117.5,550.11,3667.61,3501.34
2024-03-25,South America,Brazil,Gadget X,39,298.63,11646.57,3331.98,657.32,3989.3,7657.27
2024-04-15,Europe,UK,Widget C,20,144.86,2897.2,1140.14,130.37,1270.51,1626.69
2025-03-30,Asia,Japan,Widget A,47,263.61,12389.67,3971.04,1484.7,5455.74,6933.93
2024-10-08,Europe,Germany,Gadget X,24,163.66,3927.84,1571.06,174.39,1745.45,2182.39
2024-02-01,North America,Canada,Widget A,9,38.83,349.47,141.78,22.01,163.79,185.68
2025-01-27,Europe,France,Gadget X,24,124.16,2979.84,1199.73,243.31,1443.04,1536.8
2025-01-10,South America,Argentina,Widget C,16,288.95,4623.2,1179.76,216.11,1395.87,3227.33
2025-06-14,South America,Brazil,Widget C,50,92.88,4644.0,1575.5,555.76,2131.26,2512.74
2024-10-19,South America,Brazil,Widget A,9,258.79,2329.11,792.85,258.25,1051.1,1278.01
2025-03-31,Europe,UK,Widget C,46,38.18,1756.28,629.51,193.58,823.09,933.19
2024-06-10,North America,Canada,Gadget Y,15,53.98,809.7,234.97,34.41,269.38,540.32
2025-05-20,Europe,UK,Gadget Y,37,123.3,4562.1,1873.8,363.36,2237.16,2324.94
2024-03-29,Europe,UK,Gadget X,46,221.28,10178.88,3614.92,1010.0,4624.92,5553.96
2024-03-16,North America,Canada,Widget A,29,150.43,4362.47,1542.01,181.26,1723.27,2639.2
2024-07-05,North America,Canada,Gadget Y,4,252.79,1011.16,357.57,58.01,415.58,595.58
2024-06-14,Asia,China,Widget B,23,285.3,6561.9,2321.47,364.61,2686.08,3875.82
2024-03-21,Asia,India,Gadget Y,18,55.05,990.9,307.74,77.3,385.04,605.86
2025-05-29,North America,USA,Widget B,43,194.85,8378.55,3606.13,505.95,4112.08,4266.47
2024-02-12,Europe,Germany,Widget A,42,235.89,9907.38,3001.25,485.19,3486.44,6420.94
2025-03-02,Europe,Spain,Gadget Y,19,199.73,3794.87,1178.0,197.48,1375.48,2419.39
2025-02-19,Asia,Japan,Widget A,45,36.78,1655.1,559.29,121.79,681.08,974.02
2024-07-27,Asia,China,Widget B,21,261.22,5485.62,1721.73,652.36,2374.09,3111.53
2024-12-19,South America,Brazil,Widget C,33,177.26,5849.58,1835.73,421.07,2256.8,3592.78
2024-09-30,South America,Brazil,Widget B,7,34.17,239.19,105.02,25.78,130.8,108.39
2025-03-04,North America,USA,Widget C,37,221.92,8211.04,2364.51,364.08,2728.59,5482.45
2025-06-11,South America,Argentina,Widget C,32,26.49,847.68,372.17,63.99,436.16,411.52
2024-09-03,North America,Canada,Widget A,4,98.78,395.12,146.0,41.83,187.83,207.29
2025-04-26,Asia,China,Widget A,7,140.66,984.62,419.93,94.01,513.94,470.68
2025-02-16,Asia,India,Gadget X,4,179.68,718.72,207.66,57.35,265.01,453.71
2024-03-16,South America,Argentina,Gadget Y,18,251.09,4519.62,1693.27,384.14,2077.41,2442.21
2024-05-11,Europe,Spain,Widget C,22,176.19,3876.18,1252.48,166.61,1419.09,2457.09
2025-06-05,South America,Brazil,Widget A,3,58.37,175.11,55.44,12.72,68.16,106.95
2025-04-12,North America,USA,Widget C,40,109.19,4367.6,1435.15,373.36,1808.51,2559.09
2024-11-02,Asia,China,Gadget Y,35,157.16,5500.6,1994.43,400.12,2394.55,3106.05
2024-01-18,Asia,Japan,Widget A,27,183.44,4952.88,2027.47,471.91,2499.38,2453.5
2024-01-28,South America,Argentina,Gadget Y,37,83.71,3097.27,806.13,226.85,1032.98,2064.29
2025-06-20,South America,Brazil,Widget B,3,180.32,540.96,211.03,25.52,236.55,304.41
2025-03-27,Asia,Japan,Widget B,27,213.34,5760.18,1912.81,574.56,2487.37,3272.81
2025-04-27,Europe,France,Gadget Y,14,177.05,2478.7,1114.48,181.08,1295.56,1183.14
2025-01-20,Asia,India,Gadget X,35,115.85,4054.75,1301.0,403.36,1704.36,2350.39
2024-09-27,South America,Brazil,Widget B,18,176.26,3172.68,935.86,372.99,1308.85,1863.83
2024-10-31,Asia,China,Widget B,45,217.4,9783.0,3066.07,600.6,3666.67,6116.33
2024-10-07,Asia,India,Gadget Y,44,172.09,7571.96,3249.52,496.02,3745.54,3826.42
2024-12-19,North America,Canada,Widget A,19,287.49,5462.31,1451.91,618.12,2070.03,3392.28
2024-09-19,South America,Brazil,Widget B,35,95.92,3357.2,1216.66,182.79,1399.45,1957.75
2024-04-21,North America,USA,Widget A,43,273.45,11758.35,3470.29,599.15,4069.44,7688.91
2024-04-12,South America,Argentina,Gadget X,7,210.73,1475.11,409.33,172.3,581.63,893.48
2024-06-10,South America,Argentina,Gadget X,42,75.85,3185.7,1410.57,187.65,1598.22,1587.48
2024-03-01,Europe,France,Gadget Y,48,222.47,10678.56,4670.1,1198.03,5868.13,4810.43
2024-06-28,South America,Brazil,Widget A,26,240.63,6256.38,1797.22,609.44,2406.66,3849.72
2024-10-23,Europe,Germany,Widget C,37,188.78,6984.86,3043.24,420.17,3463.41,3521.45
2025-04-10,South America,Brazil,Gadget Y,30,96.39,2891.7,1190.69,172.81,1363.5,1528.2
2025-04-14,Asia,China,Widget B,1,226.25,226.25,92.34,18.35,110.69,115.56
2024-07-16,North America,Canada,Gadget X,33,111.82,3690.06,1218.33,142.38,1360.71,2329.35
2024-05-23,South America,Argentina,Widget B,1,93.02,93.02,27.64,9.1,36.74,56.28
2024-12-03,Asia,China,Gadget Y,1,93.23,93.23,30.01,4.78,34.79,58.44
2024-05-01,South America,Argentina,Widget B,26,212.1,5514.6,2396.76,606.07,3002.83,2511.77
2024-11-14,Europe,UK,Widget C,40,81.84,3273.6,1445.2,239.09,1684.29,1589.31
2025-04-10,Asia,Japan,Gadget Y,31,232.06,7193.86,2952.35,750.35,3702.7,3491.16
2024-09-10,Europe,Spain,Gadget Y,46,121.3,5579.8,2418.56,223.74,2642.3,2937.5
2025-06-01,North America,USA,Widget B,21,259.26,5444.46,1842.23,496.68,2338.91,3105.55
2025-05-15,Europe,Spain,Widget A,30,56.94,1708.2,568.98,137.94,706.92,1001.28
2025-04-18,Asia,China,Widget A,26,91.25,2372.5,594.56,117.7,712.26,1660.24
2024-03-15,Europe,Spain,Widget C,45,37.85,1703.25,764.46,194.36,958.82,744.43
2024-03-11,South America,Brazil,Widget C,27,70.39,1900.53,526.61,166.75,693.36,1207.17
2025-03-06,Asia,Japan,Gadget X,25,125.18,3129.5,1209.7,280.28,1489.98,1639.52
2024-05-16,Asia,India,Widget B,35,130.06,4552.1,1253.96,537.54,1791.5,2760.6
2024-01-04,Europe,UK,Gadget X,44,221.35,9739.4,3261.0,624.64,3885.64,5853.76
2024-08-23,North America,Canada,Widget C,10,97.18,971.8,425.15,92.57,517.72,454.08
2024-04-25,Europe,Spain,Gadget Y,50,282.15,14107.5,6035.31,728.79,6764.1,7343.4
2024-03-09,Europe,Germany,Gadget X,39,208.17,8118.63,3445.89,422.38,3868.27,4250.36
2024-02-15,South America,Argentina,Widget B,35,80.84,2829.4,1196.12,99.26,1295.38,1534.02
2025-05-30,Asia,India,Gadget Y,21,181.69,3815.49,1543.39,395.49,1938.88,1876.61
2024-08-30,Asia,India,Gadget Y,15,135.8,2037.0,621.35,163.17,784.52,1252.48
2024-06-28,South America,Argentina,Widget A,23,283.64,6523.72,2506.86,657.08,3163.94,3359.78
2024-11-22,South America,Argentina,Widget B,20,125.41,2508.2,1005.5,182.14,1187.64,1320.56
2024-08-18,Asia,China,Widget B,30,276.13,8283.9,3002.72,970.05,3972.77,4311.13
2024-05-17,South America,Brazil,Widget C,14,112.47,1574.58,418.55,110.98,529.53,1045.05
2025-01-14,Europe,France,Widget A,18,125.61,2260.98,838.81,75.88,914.69,1346.29
2024-03-15,North America,USA,Gadget X,14,263.45,3688.3,1167.69,428.33,1596.02,2092.28
2024-01-16,North America,USA,Widget A,48,299.88,14394.24,4977.3,746.1,5723.4,8670.84
2024-07-28,South America,Brazil,Gadget Y,21,237.14,4979.94,1624.12,388.58,2012.7,2967.24
2025-01-02,Asia,Japan,Widget C,33,267.19,8817.27,3026.09,901.6,3927.69,4889.58
2025-04-25,Asia,India,Widget C,21,135.9,2853.9,1034.55,142.45,1177.0,1676.9
2024-05-29,Europe,UK,Gadget Y,38,182.16,6922.08,2308.62,302.61,2611.23,4310.85
2024-12-03,North America,Canada,Gadget Y,16,159.8,2556.8,973.94,234.3,1208.24,1348.56
2024-09-20,South America,Argentina,Gadget X,11,225.18,2476.98,793.71,105.51,899.22,1577.76
2025-05-15,North America,USA,Gadget Y,3,254.94,764.82,202.57,79.25,281.82,483.0
2024-02-19,Europe,Spain,Widget B,41,84.8,3476.8,1360.94,107.16,1468.1,2008.7
